id,createdAt,title,amount,month,userID
1,2024-01-01T00:00:00,Electricity Bill January,300,2024-01-01,user-123
2,2024-01-31T00:00:00,Electricity Bill January,400,2024-01-31,user-123
3,2024-03-01T00:00:00,Electricity Bill March,500,2024-03-01,user-123
4,2024-03-31T00:00:00,Electricity Bill March,600,2024-03-31,user-123
5,2024-04-30T00:00:00,Electricity Bill April,200,2024-04-30,user-123
6,2024-05-30T00:00:00,Electricity Bill May,300,2024-05-30,user-123
7,2024-06-29T00:00:00,Electricity Bill June,400,2024-06-29,user-123
8,2024-07-29T00:00:00,Electricity Bill July,500,2024-07-29,user-123
9,2024-08-28T00:00:00,Electricity Bill August,600,2024-08-28,user-123
10,2024-09-27T00:00:00,Electricity Bill September,200,2024-09-27,user-123
11,2024-10-27T00:00:00,Electricity Bill October,300,2024-10-27,user-123
12,2024-11-26T00:00:00,Electricity Bill November,400,2024-11-26,user-123
